StrainID,PS1,PS2
1287713,-126.0216661,46
1287690,-42.63913776,-126
1287704,-12.46178493,154
1287709,-8.859464054,140
1287739,-7.419966152,123
1287726,8.033058557,51
1287667,10.90588141,-56
1287708,20.24465886,-39
1287737,24.37771981,-42
1287724,25.50039222,-38
1287725,26.24057607,-43
1287728,27.130172,-43
1287729,27.16521197,-37
1287677,121.5030631,25
1287716,124.3615311,-23
1287736,125.7360663,-27
1287714,127.2557867,-30
1287703,127.7337492,-2
1287685,128.2397165,-29
1287721,131.8209491,-12
1287734,136.6254793,8
1287683,148.356629,76
1287687,-145.7366623,-82
1287696,-145.2947603,-52
1287731,-141.0914305,-52
1287695,-140.82909,-31
1287673,-130.8402857,-289
1287720,-124.3544554,-265
1287689,-123.8950386,-339
1287674,-113.6547333,-592
1287686,-97.04837682,-529
1287681,-82.67604021,-271
1287707,-60.01706406,-247
1287733,-0.492571668,-123
1287671,2.315245611,-128
1287705,4.289319006,-109
1287702,6.573861621,-93
1287700,6.716308807,-100
1287710,12.23392955,-64
1287723,13.77082471,-95
1287701,97.80055498,-70
1287697,98.8891809,-34
1287699,99.89374035,-41
1287712,102.4401941,-96
