x,y
0.61,-112.9359145
0.84,-102.4792301
0.85,-53.3717307
0.8,-84.69733916
0.81,-110.9613231
1.06,-54.40807519
0.79,-94.25584072
0.9,-97.54575192
0.72,-80.99571077
1.03,-58.96685895
1.01,-34.82939804
0.68,-79.04740678
0.95,-91.57162967
0.99,-63.57136835
0.87,-74.04569881
1.34,-22.32506988
1.04,-55.09249731
0.92,-74.56920249
0.9,-78.9895262
0.85,-87.06282482
0.91,-68.12920039
0.91,-62.11760538
0.95,-60.49389411
0.91,-72.02520685
1.1,-33.35666392
0.96,-58.64990085
0.89,-76.76958279
0.88,-64.2900463
0.93,-56.10199728
0.96,-78.34980649
0.97,-78.94835945
1.05,-51.3049229
1.03,-39.87127133
1.73,71.0214028
1.27,-2.013032576
1.37,-26.5418496
1.38,-6.993444376
1.48,46.23736225
0.87,-78.43099788
1.06,-49.71742809
0.87,-64.19826474
1.74,40.1672473
1.52,16.09811376
1.13,-39.59341182
1.61,8.260326424
1.41,55.08172024
1.32,-28.86359009
1.58,16.71723137
2,223.8570775
